Time (Seconds),r_shoulder_top_x,r_shoulder_top_y,r_shoulder_top_z,r_elbow_out_x,r_elbow_out_y,r_elbow_out_z,r_wrist_out_x,r_wrist_out_y,r_wrist_out_z
1.117,-988.001587,1394.772583,-406.092072,-1105.300415,1023.795471,-458.252533,-1161.981201,885.661438,-343.508484
1.125,-985.397522,1394.083008,-399.951965,-1103.816284,1023.522278,-450.513458,-1159.075195,885.118835,-334.7164
1.133,-982.554626,1393.163696,-394.080811,-1102.468018,1022.856934,-442.818237,-1155.848999,884.588379,-325.789673
1.142,-979.550537,1392.589233,-387.600464,-1100.602783,1022.289978,-435.019379,-1152.456543,884.236145,-316.976624
1.15,-976.434143,1391.670166,-381.735077,-1098.922241,1021.853699,-427.491974,-1149.054321,883.957336,-308.346069
1.158,-973.147705,1390.745361,-375.493774,-1096.307983,1021.196228,-419.251648,-1145.390991,883.438538,-299.996582
1.167,-969.743164,1389.898071,-369.42865,-1093.875122,1019.626587,-411.597137,-1141.621338,882.691711,-291.554901
1.175,-966.181946,1388.828125,-363.298248,-1091.338135,1019.352417,-404.373993,-1137.616333,882.069763,-283.601959
1.183,-962.527344,1387.777832,-357.473816,-1088.685303,1018.767456,-397.193268,-1133.523193,881.05365,-275.652069
1.192,-958.454834,1386.867676,-350.878876,-1085.808716,1017.961975,-389.978821,-1128.805298,880.184692,-268.166351
1.2,-954.309814,1385.927002,-344.854675,-1082.591309,1017.049805,-382.772125,-1124.010742,879.283508,-260.335632
1.208,-950.346313,1384.813354,-338.744019,-1079.205811,1016.223816,-375.788147,-1119.146851,878.22406,-252.756836
1.217,-945.992554,1383.750732,-332.444702,-1075.696289,1015.229553,-368.884766,-1114.14563,877.197937,-245.52507
1.225,-941.547913,1382.802368,-326.629974,-1071.971069,1014.313599,-361.927002,-1109.066162,876.15741,-238.526855
1.233,-936.692139,1381.674194,-320.878113,-1068.080322,1013.475891,-355.275696,-1103.861206,875.108826,-231.673706
1.242,-931.923096,1380.892334,-315.009735,-1063.957031,1012.671936,-348.598511,-1098.442261,874.214111,-225.037872
1.25,-927.137451,1380.15564,-309.119171,-1059.685547,1011.991638,-342.100189,-1092.863647,873.21167,-218.540039
1.258,-922.12323,1379.482666,-303.417023,-1055.163818,1011.289856,-335.72467,-1087.156494,872.360107,-212.206787
1.267,-916.972656,1378.954834,-297.576447,-1050.472656,1010.863037,-329.502625,-1081.314697,871.452026,-205.956909
1.275,-911.704712,1378.552856,-292.073395,-1045.643555,1010.446899,-323.404694,-1075.202393,870.701599,-200.093185
1.283,-906.467407,1378.236328,-285.598053,-1040.598633,1010.124939,-317.328369,-1069.126465,870.053833,-194.249008
1.292,-900.817505,1378.006104,-280.162292,-1035.419189,1010.026245,-311.508453,-1062.818481,869.466736,-188.67334
1.3,-895.023621,1377.985596,-275.080261,-1030.102051,1010.053406,-305.709137,-1056.346558,868.987976,-183.244446
1.308,-889.065979,1378.062134,-269.900299,-1024.593994,1010.141113,-300.044983,-1049.896118,868.59668,-177.894501
1.317,-883.039368,1378.186646,-264.706177,-1018.955139,1010.502441,-294.241852,-1043.268311,868.303894,-172.706787
1.325,-876.929504,1378.534668,-259.594604,-1013.247131,1010.707397,-289.168793,-1036.539551,868.093262,-167.559174
1.333,-870.755676,1378.862793,-254.618225,-1007.372498,1011.131287,-283.577454,-1029.759888,868.063171,-162.444199
1.342,-864.452148,1379.379883,-249.797867,-1001.34613,1011.723145,-278.349243,-1022.862915,868.140869,-157.325256
1.35,-858.027832,1380.175293,-245.1008,-995.062134,1012.345886,-273.037842,-1015.929077,868.46521,-152.299362
1.358,-851.790405,1381.056763,-240.360382,-988.809509,1013.154602,-267.781433,-1008.914734,868.921753,-147.284271
1.367,-845.387512,1382.064331,-235.62468,-982.402832,1014.108765,-262.537933,-1001.76239,869.676331,-142.111115
1.375,-838.797913,1383.316284,-230.878067,-975.872803,1015.281799,-257.307556,-994.590576,870.593872,-136.911758
1.383,-832.126648,1384.750244,-226.202408,-969.203308,1016.628601,-252.236481,-987.285645,871.790833,-131.93428
1.392,-825.377991,1386.298462,-221.591461,-962.361572,1018.214966,-247.169403,-979.87793,873.122681,-126.81115
1.4,-818.606934,1387.938965,-216.951813,-955.374817,1019.815552,-242.014267,-972.515076,874.587341,-121.675407
1.408,-811.721985,1389.801758,-212.623169,-948.483704,1021.742554,-237.088806,-965.171265,876.137634,-116.617401
1.417,-804.880615,1391.596436,-208.271973,-941.497192,1023.73407,-231.93576,-957.750488,877.724487,-111.489136
1.425,-798.140076,1393.430054,-203.887772,-934.213379,1025.098877,-226.613037,-950.416931,879.361938,-106.288681
1.433,-791.407227,1395.266724,-199.742767,-927.484802,1027.079834,-221.694504,-943.108643,881.032898,-101.041557
