1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
1.808,187.864182,1365.949829,53.089417,291.930756,1083.984741,-74.318275,293.804382,852.298462,17.461197
1.817,187.321991,1364.198975,55.285927,291.926086,1082.414307,-72.11454,293.618073,850.707764,19.92021
1.825,186.820786,1362.375732,57.394241,291.961273,1080.682007,-69.830803,293.358124,849.035645,22.236715
1.833,186.40741,1360.548218,59.383579,291.857147,1078.896606,-67.510147,293.227966,847.370972,24.656097
1.842,185.917847,1358.650269,61.332626,291.960632,1077.133179,-65.042694,292.957184,845.579346,27.245235
1.85,185.476456,1356.781494,63.278645,291.889618,1075.256348,-62.849445,292.67572,843.836487,29.608303
1.858,185.114227,1354.873413,65.189499,291.879364,1073.346436,-60.456104,292.59903,842.123413,32.100632
1.867,184.678009,1352.995483,66.963493,291.758728,1071.439087,-58.150669,292.386932,840.288025,34.719864
1.875,184.285095,1351.004883,68.73307,291.67627,1069.437378,-55.948444,292.160309,838.47937,37.241386
1.883,183.989639,1349.065674,70.512276,291.633972,1067.471924,-53.495647,292.023468,836.574341,39.911583
1.892,183.681625,1347.094971,72.145294,291.475311,1065.325073,-51.338165,291.586517,834.620178,42.595093
1.9,183.353195,1345.076172,73.901657,291.501495,1063.281128,-48.941246,291.104004,832.522339,45.141129
1.908,182.689606,1342.436279,74.713814,291.349243,1061.122559,-46.729282,290.814697,830.541931,47.927696
1.917,182.524185,1340.384888,76.404572,291.322662,1058.979736,-44.527462,290.464264,828.534485,50.505371
1.925,182.269165,1338.191772,77.797462,291.250275,1056.664307,-42.309643,290.02597,826.287354,53.066086
1.933,181.942444,1335.825684,79.386726,291.136139,1054.323853,-40.133385,289.696198,824.049438,55.96199
1.942,181.662964,1333.385376,80.879539,291.185822,1051.858154,-37.980961,289.205566,821.776306,58.569996
1.95,181.374405,1330.873291,82.410454,291.10907,1049.406616,-35.874844,288.673798,819.337097,61.234684
1.958,181.095612,1328.255981,83.900528,291.038177,1046.740601,-33.848522,288.382935,816.956116,63.953026
1.967,180.78923,1325.580078,85.402222,291.01297,1044.026367,-31.741228,287.77121,814.453491,66.731491
1.975,180.48085,1322.859009,86.956223,290.941772,1041.247314,-29.684166,287.334534,811.856995,69.324669
1.983,180.210587,1320.073242,88.471756,290.991333,1038.386841,-27.599627,286.833344,809.282532,72.267441
